Player ID,Full Name,First Name,Last Name,Date of Birth,Nationality,Position / Section,Played Matches,Goals,Assists,Penalties,Season,Competition Name,Competition Code,Player Last Updated,Team Last Updated
38101,Erling Haaland,Erling,Haaland,2000-07-21,Norway,Centre-Forward,12,14,1,,2025,Premier League,PL,2025-04-02T09:41:03Z,2022-02-10T19:48:37Z
175994,Thiago Rodrigues,,Thiago,2001-06-26,Brazil,Offence,12,9,,4,2025,Premier League,PL,2024-03-30T09:42:07Z,2022-04-03T16:24:00Z
3328,Danny Welbeck,Danny,Welbeck,1990-11-26,England,Centre-Forward,12,7,,,2025,Premier League,PL,2024-08-23T09:25:16Z,2024-07-29T17:18:23Z
4417,Antoine Semenyo,Antoine,Semenyo,2000-01-07,Ghana,Right Winger,11,6,3,1,2025,Premier League,PL,2024-08-23T09:25:16Z,2024-08-29T08:54:34Z
641,Jean-Philippe Mateta,Jean-Philippe,Mateta,1997-06-28,France,Centre-Forward,12,6,,2,2025,Premier League,PL,2024-08-23T09:25:15Z,2022-02-10T19:22:36Z
8133,Richarlison,,Richarlison,1997-05-10,Brazil,Centre-Forward,12,5,2,,2025,Premier League,PL,2024-08-23T09:25:15Z,2024-05-11T21:39:03Z
8626,Bryan Mbeumo,Bryan,Mbeumo,1999-08-07,Cameroon,Right Winger,11,5,1,,2025,Premier League,PL,2024-08-23T09:25:16Z,2022-02-10T19:27:46Z
3754,Mohamed Salah,Mohamed,Salah,1992-06-15,Egypt,Right Winger,12,4,2,1,2025,Premier League,PL,2025-04-19T09:41:02Z,2022-02-10T19:30:22Z
83599,Wilson Isidor,Wilson,Isidor,2000-08-27,France,Centre-Forward,12,4,,,2025,Premier League,PL,2024-09-02T09:59:05Z,2022-02-19T09:12:07Z
103125,João Pedro,,João Pedro,2001-09-26,Brazil,Centre-Forward,12,4,3,,2025,Premier League,PL,2025-04-01T09:43:10Z,2022-02-10T19:24:40Z
